0,1,2,Label,id,indegree
9.847820253444096e+17,MencheLab,96.0,,,
52602820.0,Sebespejo,214.0,,,
1.0103080678278963e+18,EvoplexOrg,40.0,,,
159565864.0,adarshmathew92,109.0,,,
16696406.0,nj_goncalves,58.0,,,
8.508923776277422e+17,tylersnetwork,245.0,,,
1.0062318141077504e+18,LabNode,105.0,,,
2669156418.0,ian_hoffecker,148.0,,,
887242609.0,AnisabelBento,46.0,,,
621489211.0,kayladelahaye,102.0,,,
2519410236.0,SomnathTagore,72.0,,,
1038442496.0,chapakiti,86.0,,,
7.803458165610332e+17,cnnjojo,73.0,,,
54100811.0,danjbecker,39.0,,,
221354550.0,diestra77,263.0,,,
40383352.0,evoluchico,299.0,,,
64595550.0,Nietzchrodinger,189.0,,,
3185442680.0,jrncarlock,251.0,,,
9.747115005511475e+17,stonge_g,69.0,,,
53763883.0,crcandiav,92.0,,,
8.340304780427387e+17,nikhil07prakash,135.0,,,
8.434996345175941e+17,plzbeemyfriend,89.0,,,
8.156731268182999e+17,alliecmorgan,102.0,,,
175782460.0,oneofyen,162.0,,,
8.707429573805588e+17,PhysicsNEU,6.0,,,
1344397614.0,BMAlthouse,25.0,,,
223521568.0,TehRaio,193.0,,,
575376342.0,kaltenburger,166.0,,,
200865067.0,Arjitkapoor,54.0,,,
148052204.0,DanajaT,210.0,,,
1017873282.0,teo_criscione,169.0,,,
4723010406.0,anshulheaven,91.0,,,
2261831748.0,lista_redes,416.0,,,
1246421.0,danbri,112.0,,,
1585948734.0,jessecshore,154.0,,,
572949103.0,p_serodio,89.0,,,
27700085.0,natera,269.0,,,
2695374271.0,simply_jaehyuk,180.0,,,
2184712454.0,tozCSS,88.0,,,
178525062.0,apastorepiontti,78.0,,,
3001054244.0,pandeypradumn16,127.0,,,
13879522.0,GiulioRossetti,293.0,,,
624806128.0,HocineCherifi,333.0,,,
131264897.0,iacopoiacopini,241.0,,,
1296859046.0,LeonieMueck,36.0,,,
118402066.0,nitishk_Phd,214.0,,,
8.645862318538301e+17,_giuliacencetti,141.0,,,
96989025.0,anduviera,361.0,,,
122724789.0,sees_lab,278.0,,,
8.605614351177196e+17,sentinelle_nord,59.0,,,
543881355.0,dcalacci,119.0,,,
186484265.0,rayohauno,466.0,,,
414979077.0,Mire1a,409.0,,,
564948043.0,tacomanbearpig,51.0,,,
213083607.0,gomezgardenes,219.0,,,
220633309.0,Ank_iitR,28.0,,,
1307251459.0,claudia_mihai,403.0,,,
72912621.0,pwillburn,156.0,,,
9.111937219364577e+17,PolNet2018,287.0,,,
91975097.0,jmblanch,288.0,,,
348029933.0,beautiful_data,14.0,,,
