Target,Source
814015332,846697411099668481
814015332,3163055411
814015332,768884790292541440
814015332,156576788
814015332,140753054
814015332,780429268866052096
814015332,138222192
814015332,754031378950451200
814015332,848913193867124742
814015332,2911645708
814015332,123842287
814015332,1004142841008754688
814015332,15464243
814015332,1953104810
814015332,1440886406
814015332,38341407
814015332,2742636202
814015332,1147170718494445569
814015332,56035984
814015332,54531975
814015332,954335153723183104
814015332,3837804028
814015332,1133818056956887044
814015332,166008261
814015332,15160540
814015332,1216521482
814015332,112333725
814015332,1067513782044368896
814015332,2164757344
814015332,778659791753220098
814015332,1134960976695091212
814015332,82566863
814015332,109533154
814015332,24016742
814015332,240789781
814015332,1834931742
814015332,46152530
814015332,116297274
814015332,54887627
814015332,962911429052518400
814015332,1979287862
814015332,394381650
814015332,224814031
814015332,816321694319181824
814015332,373682248
814015332,1011880954279981056
814015332,1428700644
814015332,386025050
814015332,22252648
814015332,564089684
814015332,582233920
814015332,1093681836327198720
814015332,3246553077
814015332,1006295526722203652
814015332,813725467756863488
814015332,1120789424118407168
814015332,445315503
814015332,444854831
814015332,1111238619002531840
814015332,7559192
814015332,197886036
814015332,33315710
814015332,415906140
814015332,1105508110213545984
814015332,4120580026
814015332,371701437
814015332,3325105445
814015332,833373624
814015332,89509276
814015332,984782025344409600
814015332,52602820
814015332,1010308067827896321
814015332,2648987845
814015332,16696406
814015332,846422863
814015332,850892377627742209
814015332,2264082385
814015332,61690125
814015332,1006231814107750401
814015332,77990334
814015332,2669156418
814015332,887242609
814015332,37535954
814015332,621489211
814015332,2519410236
814015332,922766485570940928
814015332,1038442496
814015332,318262821
814015332,780345816561033216
814015332,54100811
814015332,221354550
814015332,14543336
814015332,40383352
814015332,155579143
814015332,64595550
814015332,368379922
814015332,957898451609669633
814015332,3185442680
814015332,974711500551147521
814015332,712963903
814015332,16458709
814015332,53763883
814015332,834030478042738689
814015332,834514130035957775
814015332,843499634517594113
814015332,377491711
814015332,103370610
814015332,815673126818299904
